name,description
Arena Trap,Prevents fleeing.
Battle Armor,Blocks critical hits.
Blaze,Ups FIRE moves in a pinch.
Chlorophyll,Raises SPEED in sunshine.
Clear Body,Prevents ability reduction.
Cloud Nine,Negates weather effects.
Compound Eyes,Raises accuracy.
Cute Charm,Infatuates on contact.
Damp,Prevents self-destruction.
Early Bird,Awakens quickly from sleep.
Effect Spore,Leaves spores on contact.
Flame Body,Burns the foe on contact.
Flash Fire,Powers up if hit by fire.
Guts,Ups ATTACK if suffering.
Hyper Cutter,Prevents ATTACK reduction.
Illuminate,Encounter rate increases.
Immunity,Prevents poisoning.
Inner Focus,Prevents flinching.
Insomnia,Prevents sleep.
Intimidate,Lowers the foe’s ATTACK.
Keen Eye,Prevents loss of accuracy.
Levitate,Not hit by GROUND attacks.
Lightning Rod,Draws electrical moves.
Limber,Prevents paralysis.
Liquid Ooze,Draining causes injury.
Magnet Pull,Traps STEEL-type POKéMON.
Marvel Scale,Ups DEFENSE if suffering.
Natural Cure,Heals upon switching out.
Oblivious,Prevents attraction.
Overgrow,Ups GRASS moves in a pinch.
Own Tempo,Prevents confusion.
Pickup,May pick up items.
Poison Point,Poisons foe on contact.
Pressure,Raises foe’s PP usage.
Rain Dish,Slight HP recovery in rain.
Rock Head,Prevents recoil damage.
Run Away,Makes escaping easier.
Sand Veil,Ups evasion in a sandstorm.
Serene Grace,Promotes added effects.
Shed Skin,Heals the body by shedding.
Shell Armor,Blocks critical hits.
Shield Dust,Prevents added effects.
Soundproof,Avoids sound-based moves.
Static,Paralyzes on contact.
Stench,Helps repel wild POKéMON.
Sticky Hold,Prevents item theft.
Sturdy,Negates 1-hit KO attacks.
Swarm,Ups BUG moves in a pinch.
Swift Swim,Raises SPEED in rain.
Synchronize,Passes on status problems.
Thick Fat,Heat-and-cold protection.
Torrent,Ups WATER moves in a pinch.
Trace,Copies special ability.
Vital Spirit,Prevents sleep.
Volt Absorb,Turns electricity into HP.
Water Absorb,Changes water into HP.
Water Veil,Prevents burns.
